CONTAINER ID   IMAGE                                              COMMAND                  CREATED             STATUS                             PORTS                                                                 NAMES
692872fba514   accred-ai-frontend                                 "/docker-entrypoint.…"   16 seconds ago      Up 10 seconds (health: starting)   80/tcp                                                                accred-ai-frontend-1
5a5d5edb053a   accred-ai-backend                                  "sh -c 'python manag…"   17 seconds ago      Up 10 seconds (health: starting)   8000/tcp                                                              accred-ai-backend-1
d7e20c06d143   postgres:15-alpine                                 "docker-entrypoint.s…"   17 seconds ago      Up 15 seconds (healthy)            5432/tcp                                                              accred-ai-db-1
916294ee5248   caddy:2-alpine                                     "caddy run --config …"   26 minutes ago      Up 26 minutes (healthy)            443/tcp, 2019/tcp, 443/udp, 0.0.0.0:8013->80/tcp, [::]:8013->80/tcp   lims_proxy
2d8027a00a95   lims-frontend                                      "/docker-entrypoint.…"   26 minutes ago      Up 26 minutes                      80/tcp                                                                lims_frontend
3be2a9d1c142   lims-celery                                        "celery -A config wo…"   26 minutes ago      Up 26 minutes                      8000/tcp                                                              lims_celery
cdd4e55980ae   lims-backend                                       "gunicorn --bind 0.0…"   26 minutes ago      Up 26 minutes (unhealthy)          0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp                           lims_backend
f31240315898   postgres:16-alpine                                 "docker-entrypoint.s…"   26 minutes ago      Up 26 minutes (healthy)            5432/tcp                                                              lims_db
52d883358a53   redis:7-alpine                                     "docker-entrypoint.s…"   26 minutes ago      Up 26 minutes (healthy)            6379/tcp                                                              lims_redis
e210d88caf70   accred-ai-main-backend                             "sh -c 'python manag…"   About an hour ago   Up About an hour (unhealthy)       8000/tcp                                                              accred-ai-main-backend-1
0a212e787227   nginx:alpine                                       "/docker-entrypoint.…"   2 hours ago         Up 2 hours (healthy)               127.0.0.1:8016->80/tcp                                                accred-ai-main-nginx-1
051fc0c01d8a   accred-ai-main-frontend                            "/docker-entrypoint.…"   2 hours ago         Up 2 hours (healthy)               80/tcp                                                                accred-ai-main-frontend-1
8a6e18fda7f5   postgres:15-alpine                                 "docker-entrypoint.s…"   2 hours ago         Up 2 hours (healthy)               5432/tcp                                                              accred-ai-main-db-1
3976f1a8da89   postgres:16-alpine                                 "docker-entrypoint.s…"   10 hours ago        Up 10 hours (healthy)              5432/tcp                                                              rims_db_local
0e8ec096690f   radreport-backend                                  "/app/scripts/entryp…"   10 hours ago        Up 10 hours (unhealthy)            127.0.0.1:8015->8000/tcp                                              rims_backend_prod
757b4f4e8d88   radreport-frontend                                 "/docker-entrypoint.…"   10 hours ago        Up 10 hours (healthy)              127.0.0.1:8081->80/tcp                                                rims_frontend_prod
6b77447ad2db   shifaphc-frontend                                  "/docker-entrypoint.…"   37 hours ago        Up 37 hours (healthy)              127.0.0.1:8083->80/tcp                                                shifaphc-frontend-1
beaca553d91b   shifaphc-backend                                   "sh -c 'python manag…"   37 hours ago        Up 37 hours                        127.0.0.1:8017->8000/tcp                                              shifaphc-backend-1
b468ba6a1865   public.ecr.aws/docker/library/postgres:16-alpine   "docker-entrypoint.s…"   37 hours ago        Up 37 hours                        127.0.0.1:5433->5432/tcp                                              shifaphc-postgres-1
9b476a776d8e   postgres:16-alpine                                 "docker-entrypoint.s…"   5 days ago          Up 4 days                          0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                           fmu_db
f0018714b80d   redis:7-alpine                                     "docker-entrypoint.s…"   5 days ago          Up 4 days                          6379/tcp                                                              fmu_redis_prod
